Year,Manufacturer,Division,Model,Index (Model Type Index),Displacement,Cylinders,Transmission,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel,City Unadj FE - Conventional Fuel,Hwy Unadj FE - Conventional Fuel,Comb Unadj FE - Conventional Fuel,City Unrd Adj FE - Conventional Fuel,Hwy Unrd Adj FE - Conventional Fuel,Comb Unrd Adj FE - Conventional Fuel,Guzzler,Air Aspir Method,Air Aspiration Method Desc,Trans,Trans Desc,# Gears,Drive Sys,Drive Desc,Fuel Usage  - Conventional Fuel,Fuel Usage Desc - Conventional Fuel,Annual Fuel1 Cost - Conventional Fuel,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Carline Class,Carline Class Desc,Energy Storage Device Desc,# Batteries,Battery Type Desc,Total Voltage for Battery Pack(s),Batt Energy Capacity (Amp-hrs),Batt Specific Energy (Watt-hr/kg),Batt Charger Type Desc,Regen Braking Type Desc,"Regen Braking Type, If Other","Regen Braking Wheels Source (Front, Rear, Both)",Driver Cntrl Regen Braking?,MFR Calculated Gas Guzzler MPG ,FE Rating (1-10 rating on Label),GHG Rating (1-10 rating on Label),GHG 1-10 rating on Ethanol (EPA Determined),#1 Mfr Smog Rating (Mfr Smog 1-10 Rating on Label for Test Group 1),$ You Spend over 5 years ,City CO2 Rounded Adjusted,Hwy CO2 Rounded Adjusted,Comb CO2 Rounded Adjusted
2019,Volkswagen Group of,Bentley,Bentayga,13,4.0,8,Auto(S8),14,23,17,17.6,28.4,21.2336,14.3579,23.23,17.3377,,TC,Turbocharged,SA,Semi-Automatic,8,A,All Wheel Drive,GP,Gasoline (Premium Unleaded Recommended),2650,2,2,33,Standard SUV 4WD,,,,,,,,,,,,21.4,3,3,,3,6250,613,379,508
2019,Mercedes-Benz,Mercedes-Benz,AMG E 63 S 4MATIC,360,4.0,8,Auto(A9),15,23,18,18.2,31.7,22.5147,14.7421,22.7134,17.5069,,TC,Turbocharged,A,Automatic,9,4,4-Wheel Drive,GPR,Gasoline (Premium Unleaded Required),2500,2,2,5,Midsize Cars,,,,,,,,,,,,22.7,3,3,,3,5500,605,392,509
2019,General Motors,Chevrolet,C10 SILVERADO 2WD,648,4.3,6,Auto(A6),16,21,17,19.3194,30.4332,23.1186,15.591,20.5146,17.4787,,NA,Naturally Aspirated,A,Automatic,6,R,"2-Wheel Drive, Rear",G,Gasoline (Regular Unleaded Recommended),2250,1,1,12,Standard Pick-up Trucks 2WD,,,,,,,,,,,,,3,3,,6,4250,570,434,509
2019,General Motors,GMC,C10 SIERRA 2WD,650,4.3,6,Auto(A6),16,21,17,19.3099,30.3901,23.0999,15.5838,20.5105,17.4724,,NA,Naturally Aspirated,A,Automatic,6,R,"2-Wheel Drive, Rear",G,Gasoline (Regular Unleaded Recommended),2250,1,1,12,Standard Pick-up Trucks 2WD,,,,,,,,,,,,,3,3,,6,4250,570,434,509
2019,General Motors,Chevrolet,C15 SILVERADO LD 2WD,513,5.3,8,Auto(A6),15,22,17,18.6,30.1,22.4618,15.0462,21.6461,17.4389,,NA,Naturally Aspirated,A,Automatic,6,R,"2-Wheel Drive, Rear",G,Gasoline (Regular Unleaded Recommended),2250,1,1,12,Standard Pick-up Trucks 2WD,,,,,,,,,,,,,3,3,,3,4250,591,410,510
2019,General Motors,GMC,C15 SIERRA LTD 2WD,514,5.3,8,Auto(A6),15,22,17,18.6,30.1,22.4618,15.0462,21.6461,17.4389,,NA,Naturally Aspirated,A,Automatic,6,R,"2-Wheel Drive, Rear",G,Gasoline (Regular Unleaded Recommended),2250,1,1,12,Standard Pick-up Trucks 2WD,,,,,,,,,,,,,3,3,,3,4250,591,410,510
2019,General Motors,Chevrolet,CORVETTE,14,6.2,8,Manual(M7),15,22,17,18.2978,30.7841,22.3833,14.8166,22.1034,17.3975,,SC,Supercharged,M,Manual,7,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),2650,1,1,1,Two Seaters,,,,,,,,,,,,22.5,3,3,,1,6250,601,403,512
2019,FCA US LLC,RAM,1500 Classic 4X2,500,5.7,8,Auto(A8),15,22,17,18.5258,29.9638,22.3681,14.9899,21.5549,17.3707,,NA,Naturally Aspirated,A,Automatic,8,R,"2-Wheel Drive, Rear",GM,Gasoline (Mid Grade Unleaded Recommended),2450,1,1,12,Standard Pick-up Trucks 2WD,,,,,,,,,,,,,3,3,,3,5250,593,413,512
2019,General Motors,Chevrolet,K1500 TAHOE 4WD,516,5.3,8,Auto(A6),15,21,17,18.6,29.5,22.3094,15.0462,21.2439,17.32,,NA,Naturally Aspirated,A,Automatic,6,4,4-Wheel Drive,G,Gasoline (Regular Unleaded Recommended),2250,1,1,33,Standard SUV 4WD,,,,,,,,,,,,,3,3,3,3,4250,591,418,513
2019,General Motors,Chevrolet,K1500 TAHOE 4WD,531,5.3,8,Auto(A6),15,21,17,18.6,29.5,22.3094,15.0462,21.2439,17.32,,NA,Naturally Aspirated,A,Automatic,6,4,4-Wheel Drive,G,Gasoline (Regular Unleaded Recommended),2250,1,1,33,Standard SUV 4WD,,,,,,,,,,,,,3,3,,3,4250,591,418,513
2019,General Motors,GMC,K1500 YUKON 4WD,519,5.3,8,Auto(A6),15,21,17,18.6,29.5,22.3094,15.0462,21.2439,17.32,,NA,Naturally Aspirated,A,Automatic,6,4,4-Wheel Drive,G,Gasoline (Regular Unleaded Recommended),2250,1,1,33,Standard SUV 4WD,,,,,,,,,,,,,3,3,3,3,4250,591,418,513
2019,General Motors,GMC,K1500 YUKON 4WD,535,5.3,8,Auto(A6),15,21,17,18.6,29.5,22.3094,15.0462,21.2439,17.32,,NA,Naturally Aspirated,A,Automatic,6,4,4-Wheel Drive,G,Gasoline (Regular Unleaded Recommended),2250,1,1,33,Standard SUV 4WD,,,,,,,,,,,,,3,3,,3,4250,591,418,513
2019,FCA US LLC,RAM,1500 4X2,505,5.7,8,Auto(A8),15,22,17,17.9,31.3499,22.1826,14.5136,22.4805,17.2673,,NA,Naturally Aspirated,A,Automatic,8,R,"2-Wheel Drive, Rear",GM,Gasoline (Mid Grade Unleaded Recommended),2450,1,1,12,Standard Pick-up Trucks 2WD,,,,,,,,,,,,,3,3,,5,5250,612,395,514
2019,General Motors,GMC,K10 SIERRA 4WD AT4,642,6.2,8,Auto(A10),15,19,17,19.5,32.1,23.6833,15,19,17.2535,,NA,Naturally Aspirated,A,Automatic,10,4,4-Wheel Drive,GPR,Gasoline (Premium Unleaded Required),2650,1,1,13,Standard Pick-up Trucks 4WD,,,,,,,,,,,,,3,3,,3,6250,593,467,515
2019,General Motors,Chevrolet,K10 SILVERADO 4WD,664,5.3,8,Auto(A6),15,19,16,17.9559,26.981,21.1376,14.5562,18.9894,16.2649,,NA,Naturally Aspirated,A,Automatic,6,4,4-Wheel Drive,G,Gasoline (Regular Unleaded Recommended),2400,1,1,13,Standard Pick-up Trucks 4WD,,,,,,,,,,,,,2,2,3,3,5000,612,468,516
2019,General Motors,Chevrolet,K10 SILVERADO 4WD,640,6.2,8,Auto(A10),16,20,17,19.4142,31.8224,23.5456,15.6626,19.5993,17.219,,NA,Naturally Aspirated,A,Automatic,10,4,4-Wheel Drive,GPR,Gasoline (Premium Unleaded Required),2650,1,1,13,Standard Pick-up Trucks 4WD,,,,,,,,,,,,,3,3,,3,6250,568,453,516
2019,General Motors,Chevrolet,K15 SILVERADO LD 4WD,515,5.3,8,Auto(A6),15,21,17,18.8,28.5,22.2001,15.1979,20.571,17.2222,,NA,Naturally Aspirated,A,Automatic,6,4,4-Wheel Drive,G,Gasoline (Regular Unleaded Recommended),2250,1,1,13,Standard Pick-up Trucks 4WD,,,,,,,,,,,,,3,3,,3,4250,585,432,516
2019,General Motors,GMC,K15 SIERRA LTD 4WD,536,5.3,8,Auto(A6),15,21,17,18.8,28.5,22.2001,15.1979,20.571,17.2222,,NA,Naturally Aspirated,A,Automatic,6,4,4-Wheel Drive,G,Gasoline (Regular Unleaded Recommended),2250,1,1,13,Standard Pick-up Trucks 4WD,,,,,,,,,,,,,3,3,,3,4250,585,432,516
2019,Maserati,MASERATI,QUATTROPORTE V8,30,3.8,8,Auto(A8),15,22,17,18.1,30.3,22.1052,14.666,21.7799,17.1931,G,TC,Turbocharged,A,Automatic,8,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),2650,2,2,6,Large Cars,,,,,,,,,,,,22.2,3,3,,1,6250,606,408,517
